run_id,simulation_run,model_name,data_design,sample_size,noise_level,train_rows,test_rows,mse,mean_bias,mean_abs_bias,prediction_variance
ffd87df0,1,KNN Regression,non_equidistant,180,0.25,135,45,0.010871426513526994,0.04205001211529641,0.08107953553191564,0.09278386907947364
ffd87df0,1,Random Forest,non_equidistant,180,0.25,135,45,0.023127974442194145,0.051850092447386656,0.12619022431642435,0.12347742687101577
ffd87df0,1,Boosting,non_equidistant,180,0.25,135,45,0.013085590626305255,0.054539583076378406,0.09671718913636579,0.09921278699322449
ffd87df0,1,Smoothing Spline,non_equidistant,180,0.25,135,45,0.050216379786205745,0.06441945230380237,0.1809677524602165,0.06442198955844554
ffd87df0,2,KNN Regression,non_equidistant,180,0.25,135,45,0.0072078520700818854,-0.008182254463547624,0.07654578491874617,0.11047213196454773
ffd87df0,2,Random Forest,non_equidistant,180,0.25,135,45,0.021937071463098704,0.03740778936142418,0.11200931572879347,0.1267354483609457
ffd87df0,2,Boosting,non_equidistant,180,0.25,135,45,0.013890565239831027,0.037929064470910025,0.08600034958022902,0.1065800897296246
ffd87df0,2,Smoothing Spline,non_equidistant,180,0.25,135,45,0.2217398923731599,0.09067061569995928,0.32763533787804294,0.246357186264447
ffd87df0,3,KNN Regression,non_equidistant,180,0.25,135,45,0.01055314004523368,-0.027062230434116638,0.07495434642165666,0.0938235353128106
ffd87df0,3,Random Forest,non_equidistant,180,0.25,135,45,0.034764658378190184,0.028063715703184503,0.15014769043742704,0.11822077676919776
ffd87df0,3,Boosting,non_equidistant,180,0.25,135,45,0.019430325809205923,0.015844028292734725,0.11995983384289853,0.09159035177017127
ffd87df0,3,Smoothing Spline,non_equidistant,180,0.25,135,45,0.05759406563418302,-0.024898440879751047,0.2010343920513915,0.08918864402272851
ffd87df0,4,KNN Regression,non_equidistant,180,0.25,135,45,0.02717095133555506,-0.06907050376590694,0.13351734088436693,0.12567181470085825
ffd87df0,4,Random Forest,non_equidistant,180,0.25,135,45,0.017690200923493573,0.016069019136228407,0.09808901004291189,0.12007887815868402
ffd87df0,4,Boosting,non_equidistant,180,0.25,135,45,0.010823416093353327,0.001703254507021922,0.06581464397284047,0.10475595816642634
ffd87df0,4,Smoothing Spline,non_equidistant,180,0.25,135,45,0.18122427821374124,0.033567050901855626,0.3031613919997786,0.22404171049376934
ffd87df0,5,KNN Regression,non_equidistant,180,0.25,135,45,0.024115676502226194,-0.08727599155357547,0.12886996544142285,0.11585783342636094
ffd87df0,5,Random Forest,non_equidistant,180,0.25,135,45,0.024239880884054692,-0.03963363007845619,0.11597764119285908,0.13051959648421307
ffd87df0,5,Boosting,non_equidistant,180,0.25,135,45,0.020230131953448492,-0.04459279964032783,0.09544352820678319,0.11420387238588024
ffd87df0,5,Smoothing Spline,non_equidistant,180,0.25,135,45,0.08492811019221827,-0.10593051023835677,0.2559204742125764,0.09421886739794012
ffd87df0,6,KNN Regression,non_equidistant,180,0.25,135,45,0.0289839965061729,-0.12289562195855087,0.1528161087008075,0.11435428299950823
ffd87df0,6,Random Forest,non_equidistant,180,0.25,135,45,0.03093693741155978,-0.0677549171832882,0.1464661413862601,0.13797266303771452
ffd87df0,6,Boosting,non_equidistant,180,0.25,135,45,0.02529472661806639,-0.0698288022180283,0.1372163901667527,0.11920434058483868
ffd87df0,6,Smoothing Spline,non_equidistant,180,0.25,135,45,0.1989796573450803,-0.05194026308876919,0.3545269303192843,0.2357680535243513
ffd87df0,7,KNN Regression,non_equidistant,180,0.25,135,45,0.022746751354162088,-0.10225246045336588,0.13381510420540393,0.10481370270363709
ffd87df0,7,Random Forest,non_equidistant,180,0.25,135,45,0.013756822614019074,-0.028073667134744455,0.09265572455757466,0.1089630210287044
ffd87df0,7,Boosting,non_equidistant,180,0.25,135,45,0.00912923841452922,-0.02516616577750483,0.06956609958018055,0.09230879573358564
ffd87df0,7,Smoothing Spline,non_equidistant,180,0.25,135,45,0.07083029458557703,-0.06015749909421297,0.2300251374483834,0.0907626660211892
ffd87df0,8,KNN Regression,non_equidistant,180,0.25,135,45,0.01076488888188952,-0.02194016385379315,0.08861316021423178,0.10595737973725003
ffd87df0,8,Random Forest,non_equidistant,180,0.25,135,45,0.024308135209688206,0.012384388364087236,0.12494446258036904,0.13057618932833934
ffd87df0,8,Boosting,non_equidistant,180,0.25,135,45,0.023333876822229083,0.001395755198920525,0.1112951859527514,0.11436773275524417
ffd87df0,8,Smoothing Spline,non_equidistant,180,0.25,135,45,0.03920446492830171,-0.009898021850567443,0.16129264910337074,0.08527183115471618
ffd87df0,9,KNN Regression,non_equidistant,180,0.25,135,45,0.008758143567518325,0.006000741756153289,0.0780391995603541,0.09475074118479544
ffd87df0,9,Random Forest,non_equidistant,180,0.25,135,45,0.023739125866575003,0.027280684614012146,0.12534226544267985,0.11772419672330126
ffd87df0,9,Boosting,non_equidistant,180,0.25,135,45,0.017104537268273476,0.02130330279327823,0.11118320572748362,0.10031302145272952
ffd87df0,9,Smoothing Spline,non_equidistant,180,0.25,135,45,0.09477968418190158,0.06037897647802486,0.26501281156059514,0.11126484659937942
ffd87df0,10,KNN Regression,non_equidistant,180,0.25,135,45,0.02759064656963442,-0.10800921336496778,0.14535947501892546,0.14637204054185735
ffd87df0,10,Random Forest,non_equidistant,180,0.25,135,45,0.040333917843663684,-0.0895595221935362,0.16141075417650486,0.16140282832314748
ffd87df0,10,Boosting,non_equidistant,180,0.25,135,45,0.03035497287505321,-0.09249273930930091,0.13997048484899038,0.14157002296365095
ffd87df0,10,Smoothing Spline,non_equidistant,180,0.25,135,45,0.06033280010404083,-0.12362680442479278,0.20471683932612061,0.1368877262111965
ffd87df0,11,KNN Regression,non_equidistant,180,0.25,135,45,0.013016280794300674,-0.000648261668585769,0.09855538784889269,0.08559195068977095
ffd87df0,11,Random Forest,non_equidistant,180,0.25,135,45,0.024268302682221694,-0.037352133881846175,0.12280517812080047,0.1285471119224942
ffd87df0,11,Boosting,non_equidistant,180,0.25,135,45,0.01439392228301727,-0.026775145172952784,0.09392845920208921,0.10302082101050128
ffd87df0,11,Smoothing Spline,non_equidistant,180,0.25,135,45,0.0822590695442288,-0.0008323818155292222,0.24328898470913357,0.08571023775204044
ffd87df0,12,KNN Regression,non_equidistant,180,0.25,135,45,0.0204937282919077,-0.04350005922402074,0.1122265342218011,0.10914922867918182
ffd87df0,12,Random Forest,non_equidistant,180,0.25,135,45,0.019750001326743358,0.0047647156439343296,0.10579683640017949,0.1160812120944171
ffd87df0,12,Boosting,non_equidistant,180,0.25,135,45,0.016102495622250516,-0.00043699925016584614,0.08843633716859058,0.09968402770467619
ffd87df0,12,Smoothing Spline,non_equidistant,180,0.25,135,45,0.10248304412023355,0.01057792542158876,0.24123631841127355,0.13898886490154597
ffd87df0,13,KNN Regression,non_equidistant,180,0.25,135,45,0.01809601293688044,-0.09422698162834742,0.11537335177352274,0.11574655603383208
ffd87df0,13,Random Forest,non_equidistant,180,0.25,135,45,0.029875200900313967,-0.033128981485143504,0.13944035037778676,0.13520793206078568
ffd87df0,13,Boosting,non_equidistant,180,0.25,135,45,0.023532416585235798,-0.03522085984999754,0.127807812845691,0.11937108956965206
ffd87df0,13,Smoothing Spline,non_equidistant,180,0.25,135,45,0.053544036249372096,-0.0576150289952677,0.1918921634050174,0.09174010024233975
ffd87df0,14,KNN Regression,non_equidistant,180,0.25,135,45,0.012881675186606422,-0.07343166516917453,0.09921050013944238,0.13138916753678068
ffd87df0,14,Random Forest,non_equidistant,180,0.25,135,45,0.015681612697200236,-0.02052876119373561,0.09492773494327679,0.1390932088404943
ffd87df0,14,Boosting,non_equidistant,180,0.25,135,45,0.008671825101022382,-0.022565045574186388,0.06610573189491402,0.12369797114229203
ffd87df0,14,Smoothing Spline,non_equidistant,180,0.25,135,45,0.054523054333341134,-0.03398307261963324,0.20816726991388582,0.09967463484204851
ffd87df0,15,KNN Regression,non_equidistant,180,0.25,135,45,0.016271728498063055,-0.04101898801726204,0.10065422770318007,0.09974945738997353
ffd87df0,15,Random Forest,non_equidistant,180,0.25,135,45,0.02121323774178707,0.03326755059608948,0.11701646308952472,0.10432699031483679
ffd87df0,15,Boosting,non_equidistant,180,0.25,135,45,0.018415718523645864,0.027213868862486404,0.10879061607958285,0.09302584620427365
ffd87df0,15,Smoothing Spline,non_equidistant,180,0.25,135,45,0.06512783167194451,0.0015045370676704418,0.2086328508289476,0.09128576351096805
ffd87df0,16,KNN Regression,non_equidistant,180,0.25,135,45,0.012755045096477147,0.020846788828493105,0.10247130544459264,0.10062772719954954
ffd87df0,16,Random Forest,non_equidistant,180,0.25,135,45,0.020727597443694228,0.02089602983162271,0.1104437090712753,0.11716681634015448
ffd87df0,16,Boosting,non_equidistant,180,0.25,135,45,0.014297069546719592,0.02714485398144415,0.09988638413360663,0.09644276799422935
ffd87df0,16,Smoothing Spline,non_equidistant,180,0.25,135,45,0.0563256007459903,0.0007471147827691165,0.1971852438353593,0.08008700857264892
