run_id,simulation_run,model_name,data_design,sample_size,noise_level,train_rows,test_rows,mse,mean_bias,mean_abs_bias,prediction_variance
c4e98243,1,KNN Regression,equidistant,180,0.25,135,45,0.007555341132866335,0.0077352906427141455,0.06076818021920501,0.06725377331959595
c4e98243,1,Random Forest,equidistant,180,0.25,135,45,0.015124996843739321,-0.005801582902269822,0.08763742468952401,0.10558024000008025
c4e98243,1,Boosting,equidistant,180,0.25,135,45,0.009095792235511555,-0.0017188319341710167,0.07180749598211515,0.08181093805480176
c4e98243,1,Smoothing Spline,equidistant,180,0.25,135,45,0.08227301496352663,0.01224004126477822,0.20137101074571032,0.01278744796107404
c4e98243,2,KNN Regression,equidistant,180,0.25,135,45,0.010214692689054198,-0.022162948377763298,0.0767250856731555,0.07816557231199844
c4e98243,2,Random Forest,equidistant,180,0.25,135,45,0.02086984684135115,-0.028480567540215294,0.11074747837916518,0.11289579444197867
c4e98243,2,Boosting,equidistant,180,0.25,135,45,0.019426153889004708,-0.027988692616561634,0.10817005807980755,0.08789405300883801
c4e98243,2,Smoothing Spline,equidistant,180,0.25,135,45,0.060272635145407205,-0.026188333385050416,0.18383347731072336,0.03527879208279794
c4e98243,3,KNN Regression,equidistant,180,0.25,135,45,0.009509219169833915,0.0031735890394281635,0.07239160071174383,0.06971137269246191
c4e98243,3,Random Forest,equidistant,180,0.25,135,45,0.022006690608830485,0.002883657117549979,0.11371336548744009,0.12099000110428586
c4e98243,3,Boosting,equidistant,180,0.25,135,45,0.014412341392927405,0.00479627655172611,0.0793206157718496,0.09481786859312469
c4e98243,3,Smoothing Spline,equidistant,180,0.25,135,45,0.04855244227559497,0.003840167724517276,0.15666564351573414,0.032062250481995125
c4e98243,4,KNN Regression,equidistant,180,0.25,135,45,0.0117378056871683,0.0013549396727473432,0.08320594581593684,0.0683622382676931
c4e98243,4,Random Forest,equidistant,180,0.25,135,45,0.01968307334518909,0.00018751775394144733,0.11309958295999833,0.11993500997254226
c4e98243,4,Boosting,equidistant,180,0.25,135,45,0.013364102802918365,4.385124711715583e-05,0.0927711230605526,0.09343289258057423
c4e98243,4,Smoothing Spline,equidistant,180,0.25,135,45,0.0669533326823084,0.004866002607209816,0.19780374849973859,0.03265885754085144
c4e98243,5,KNN Regression,equidistant,180,0.25,135,45,0.006751949919409729,0.017534725307430266,0.0644614055774271,0.08076374737341106
c4e98243,5,Random Forest,equidistant,180,0.25,135,45,0.018186367819575392,0.003694466166520332,0.10068473401805923,0.13502214169640228
c4e98243,5,Boosting,equidistant,180,0.25,135,45,0.012735053328148288,0.0039169045937238614,0.07568704616653761,0.10185792329439654
c4e98243,5,Smoothing Spline,equidistant,180,0.25,135,45,0.05827536236586082,0.006457085359919815,0.1833530998640611,0.0348088916015319
