run_id,simulation_run,model_name,data_design,sample_size,noise_level,train_rows,test_rows,mse,mean_bias,mean_abs_bias,prediction_variance
97f0cd14,1,KNN Regression,equidistant,120,0.2,90,30,0.014356466860871352,0.00135996100545821,0.08130076646058094,0.06174662066914839
97f0cd14,1,Random Forest,equidistant,120,0.2,90,30,0.009474552194815888,-0.004089767044311942,0.07595790003778158,0.09964592663041535
97f0cd14,1,Boosting,equidistant,120,0.2,90,30,0.009737748271815961,-0.003974895288160449,0.07180841577222673,0.08684158506405101
97f0cd14,1,Smoothing Spline,equidistant,120,0.2,90,30,0.10715906097408653,-0.0027145358674518184,0.22436813228736477,0.004771827160375474
97f0cd14,2,KNN Regression,equidistant,120,0.2,90,30,0.012010720140333237,-0.02166739387182325,0.09066205221482279,0.07815041169827162
97f0cd14,2,Random Forest,equidistant,120,0.2,90,30,0.013702409560676481,-0.03977828789064187,0.09478896865043576,0.1160666922513985
97f0cd14,2,Boosting,equidistant,120,0.2,90,30,0.011338448279833435,-0.03759542432898362,0.08350639034343646,0.09971339286712128
97f0cd14,2,Smoothing Spline,equidistant,120,0.2,90,30,0.08776706801544445,-0.02808335590690358,0.23019542828407383,0.031274144205182285
97f0cd14,3,KNN Regression,equidistant,120,0.2,90,30,0.01186627410463172,0.03856440233566467,0.09087146280190438,0.06857624891709302
97f0cd14,3,Random Forest,equidistant,120,0.2,90,30,0.013108558618137076,0.024387666640512957,0.08947360133934726,0.10508906677699902
97f0cd14,3,Boosting,equidistant,120,0.2,90,30,0.011950704498478869,0.03325171730384583,0.08833529182069258,0.0847804865196593
97f0cd14,3,Smoothing Spline,equidistant,120,0.2,90,30,0.09236762472645062,0.04780687556785422,0.22105957539415755,0.015693884589949858
97f0cd14,4,KNN Regression,equidistant,120,0.2,90,30,0.014104193006411466,-0.03267497623003081,0.08843718208888614,0.06594700195217404
97f0cd14,4,Random Forest,equidistant,120,0.2,90,30,0.01363915930841686,-0.019701533135311002,0.09574263752844155,0.11952103169829659
97f0cd14,4,Boosting,equidistant,120,0.2,90,30,0.009097892119199015,-0.02127556531938234,0.07763372060009317,0.09386979251189104
97f0cd14,4,Smoothing Spline,equidistant,120,0.2,90,30,0.09292559940166285,-0.03737488297471136,0.2325648819328894,0.01631806837883581
97f0cd14,5,KNN Regression,equidistant,120,0.2,90,30,0.015181052612217482,0.023096648164047284,0.08690780851882723,0.05815647419822387
97f0cd14,5,Random Forest,equidistant,120,0.2,90,30,0.013250041735207082,0.019563154862030224,0.08892206038735828,0.09869142973187867
97f0cd14,5,Boosting,equidistant,120,0.2,90,30,0.014884237819474564,0.02055166621333552,0.08935668394836908,0.08137950857140384
97f0cd14,5,Smoothing Spline,equidistant,120,0.2,90,30,0.10690777931500486,0.035375689879020754,0.23161605242540168,0.006276816056718762
