x,true_function,model_name,mean_prediction,bias_squared,variance,mse_curve
-6.283185307179586,-1.0294084853247718e-07,KNN Regression,0.00022425511828031152,5.033653869606185e-08,0.003380319497157779,0.04338036983369648
-6.225804619442786,-1.4463475465641883e-07,KNN Regression,0.00022425511828031152,5.03552491621546e-08,0.003380319497157779,0.04338036985240695
-6.168423931705987,-2.0251066376978487e-07,KNN Regression,0.00022425511828031152,5.038122719119889e-08,0.003380319497157779,0.04338036987838498
-6.111043243969187,-2.8256075092455243e-07,KNN Regression,0.00022425511828031152,5.0417169304734395e-08,0.003380319497157779,0.04338036991432709
-6.0536625562323865,-3.928826226287842e-07,KNN Regression,0.00022425511828030737,5.0466724309685604e-08,0.00338031949715778,0.043380369963882094
-5.996281868495587,-5.443762095572588e-07,KNN Regression,0.00022425511828030737,5.053481272289868e-08,0.00338031949715778,0.04338037003197051
-5.938901180758787,-7.516558129505079e-07,KNN Regression,0.00022425511828030737,5.062804838785438e-08,0.00338031949715778,0.04338037012520617
-5.881520493021987,-1.0342383687667063e-06,KNN Regression,0.00022425511828031013,5.0755294219354946e-08,0.00338031949715778,0.043380370252452005
-5.824139805285188,-1.418084560091541e-06,KNN Regression,0.00022425511828031293,5.092839448024634e-08,0.003380319497157779,0.04338037042555227
-5.766759117548387,-1.9375883897642444e-06,KNN Regression,0.00022425511828031152,5.116314055073494e-08,0.003380319497157779,0.04338037066029834
-5.709378429811587,-2.638133804544208e-06,KNN Regression,0.00022425511828031152,5.148054784164188e-08,0.003380319497157779,0.043380370977705626
-5.651997742074787,-3.57936457248642e-06,KNN Regression,0.00022425511828031293,5.190855157680252e-08,0.003380319497157779,0.04338037140570936
-5.594617054337988,-4.839346527987821e-06,KNN Regression,0.00022425511828030458,5.248427380579792e-08,0.00338031949715778,0.0433803719814316
-5.537236366601188,-6.519840205522744e-06,KNN Regression,0.0029070797155160526,8.489062371100961e-06,0.0031921287323512628,0.04320061779472237
-5.4798556788643875,-8.75294746751918e-06,KNN Regression,-0.0017115807126760814,2.899622397965186e-06,0.0023222472042639373,0.042325146826661914
-5.422474991127588,-1.1709448633796871e-05,KNN Regression,-0.0017115807126760827,2.8895623143167185e-06,0.0023222472042639377,0.042325136766578265
-5.365094303390788,-1.5609207385352268e-05,KNN Regression,-0.015201777011420045,0.0002306196925722999,0.0021966993520144084,0.042427319044586714
-5.307713615653988,-2.0734089732902395e-05,KNN Regression,-0.017139199227463757,0.0002930418486717066,0.0024389982766153274,0.042732040125287044
-5.250332927917189,-2.7443920763659645e-05,KNN Regression,-0.023599023310287254,0.0005556193549166136,0.0027750541239018366,0.04333067347881846
-5.1929522401803885,-3.619608853026862e-05,KNN Regression,-0.023599023310287254,0.000555206826682372,0.0027750541239018366,0.04333026095058422
-5.135571552443588,-4.756949770140194e-05,KNN Regression,-0.029369934286301365,0.000859801076795727,0.0023541126522871785,0.04321391372908291
-5.078190864706789,-6.229367525707897e-05,KNN Regression,-0.027386318448217283,0.000746602329793343,0.002194222086870136,0.042940824416663484
-5.020810176969989,-8.128393466445865e-05,KNN Regression,-0.02627659192547411,0.0006861941607333759,0.0016340103101725781,0.04232020447090596
-4.963429489233189,-0.00010568361081028204,KNN Regression,-0.02669794022102538,0.0007071481116235285,0.0015691309049284206,0.042276279016551954
-4.9060488014963894,-0.0001369144816401408,KNN Regression,-0.02473658174956549,0.0006051436296926379,0.0006389364832517978,0.04124408011294444
-4.848668113759589,-0.0001767365888819459,KNN Regression,-0.023614774395107514,0.000549341616206059,0.0007375158225947579,0.041286857438800825
-4.791287426022789,-0.00022731875293711354,KNN Regression,-0.022090145924973603,0.0004779832119543371,0.0009591721810794894,0.04143715539303383
-4.73390673828599,-0.00029132113798943117,KNN Regression,-0.02017267986604888,0.00039526842487378573,0.0009769787168336448,0.04137224714170744
-4.67652605054919,-0.00037199125292620603,KNN Regression,-0.03324104050701639,0.0010803743988678065,0.0016355328806793381,0.042715907279547154
-4.6191453628123895,-0.0004732747603734282,KNN Regression,-0.03324104050701639,0.0010737264720268676,0.0016355328806793381,0.04270925935270621
-4.56176467507559,-0.0005999423968655896,KNN Regression,-0.045802803017252716,0.002043298608266145,0.0017824680483541795,0.04382576665662033
-4.50438398733879,-0.0007577341671051123,KNN Regression,-0.046757496606673665,0.002115978144496742,0.0016879045659203753,0.04380388271041712
-4.44700329960199,-0.0009535217481791761,KNN Regression,-0.04143229444807021,0.0016385310392894434,0.001430447731251822,0.04306897877054127
-4.389622611865191,-0.0011954897081602142,KNN Regression,-0.03417040610535724,0.0010873451114021332,0.0008578425285204318,0.041945187639922575
-4.3322419241283905,-0.001493335689799844,KNN Regression,-0.034782692631234784,0.0011081812855742628,0.0008817860108534493,0.04198996729642772
-4.27486123639159,-0.0018584891162212573,KNN Regression,-0.029537432572022532,0.0007661239108294443,0.001365733592352855,0.04213185750318231
-4.217480548654791,-0.00230434722481259,KNN Regression,-0.027619066093766055,0.0006408349914141485,0.0012671378838207221,0.04190797287523488
-4.160099860917991,-0.0028465263132282873,KNN Regression,-0.020237854137259488,0.0003024582834829219,0.0009331321119001573,0.04123559039538309
-4.102719173181191,-0.003503124976259711,KNN Regression,-0.016684447429828907,0.0001737472616249674,0.001319953485416432,0.04149370074704141
-4.0453384854443915,-0.004294994818047474,KNN Regression,-0.01390020997195091,9.22601581527762e-05,0.0010707423800743372,0.04116300253822712
-3.9879577977075913,-0.005246012641044714,KNN Regression,-0.01766234628743022,0.0001541653412183648,0.0006852892857978971,0.04083945462701627
-3.930577109970791,-0.006383346450164995,KNN Regression,-0.021124324038567815,0.0002172964202617942,0.0006372505710567504,0.040854546991318554
-3.8731964222339914,-0.007737705786904457,KNN Regression,-0.030974377728309955,0.0005399429229125016,0.0008010357128774565,0.04134097863578996
