x,true_function,model_name,mean_prediction,bias_squared,variance,mse_curve
-6.283185307179586,-1.0294084853247718e-07,KNN Regression,-0.008084510823899887,6.535765081954288e-05,0.0031765842172796765,0.06574194186809922
-6.225804619442786,-1.4463475465641883e-07,KNN Regression,-0.008084510823899887,6.53569766801946e-05,0.0031765842172796765,0.06574194119395987
-6.168423931705987,-2.0251066376978487e-07,KNN Regression,-0.008084510823899887,6.53560409034586e-05,0.0031765842172796765,0.06574194025818314
-6.111043243969187,-2.8256075092455243e-07,KNN Regression,-0.008084510823899887,6.535474661069651e-05,0.0031765842172796765,0.06574193896389037
-6.0536625562323865,-3.928826226287842e-07,KNN Regression,-0.008084510823899887,6.535296288848084e-05,0.0031765842172796765,0.06574193718016816
-5.996281868495587,-5.443762095572588e-07,KNN Regression,-0.008084510823899887,6.535051352738303e-05,0.0031765842172796765,0.06574193473080706
-5.938901180758787,-7.516558129505079e-07,KNN Regression,-0.008084510823899887,6.534716228762959e-05,0.0031765842172796765,0.06574193137956731
-5.881520493021987,-1.0342383687667063e-06,KNN Regression,-0.008084510823899887,6.534259370882987e-05,0.0031765842172796765,0.0657419268109885
-5.824139805285188,-1.418084560091541e-06,KNN Regression,-0.008084510823899892,6.53363882327678e-05,0.0031765842172796774,0.06574192060551244
-5.766759117548387,-1.9375883897642444e-06,KNN Regression,-0.008084510823899896,6.532799010738472e-05,0.0031765842172796774,0.06574191220738707
-5.709378429811587,-2.638133804544208e-06,KNN Regression,-0.00808451082389989,6.531666617890898e-05,0.0031765842172796765,0.06574190088345859
-5.651997742074787,-3.57936457248642e-06,KNN Regression,-0.008084510823899887,6.530145325034727e-05,0.0031765842172796757,0.06574188567053002
-5.594617054337988,-4.839346527987821e-06,KNN Regression,-0.0080845108238999,6.528109118225721e-05,0.0031765842172796765,0.06574186530846193
-5.537236366601188,-6.519840205522744e-06,KNN Regression,-0.011745968560334314,0.0001378146562525335,0.0024533913630860257,0.06509120601933856
-5.4798556788643875,-8.75294746751918e-06,KNN Regression,-0.016903556189926377,0.00028543437660139833,0.0020368549852861108,0.06482228936188751
-5.422474991127588,-1.1709448633796871e-05,KNN Regression,-0.013391363265827096,0.00017901513626793523,0.0020598090184381856,0.06473882415470612
-5.365094303390788,-1.5609207385352268e-05,KNN Regression,-0.02230332995859012,0.0004967424962836836,0.0017451760660338023,0.06474191856231748
-5.307713615653988,-2.0734089732902395e-05,KNN Regression,-0.022303329958590124,0.0004965140786548129,0.0017451760660338028,0.06474169014468861
-5.250332927917189,-2.7443920763659645e-05,KNN Regression,-0.04388934798118645,0.0019238666278057327,0.0007013544304598568,0.06512522105826558
-5.1929522401803885,-3.619608853026862e-05,KNN Regression,-0.02995971084476031,0.0008954167353663171,0.002152363299875333,0.06554778003524164
-5.135571552443588,-4.756949770140194e-05,KNN Regression,-0.016606592950523327,0.00027420125771110654,0.001679295219210588,0.0644534964769217
-5.078190864706789,-6.229367525707897e-05,KNN Regression,-0.008082356453685711,6.432140696993638e-05,0.0023315857350364073,0.06489590714200634
-5.020810176969989,-8.128393466445865e-05,KNN Regression,-0.004116033410315835,1.627920333126906e-05,0.002588693017461472,0.06510497222079274
-4.963429489233189,-0.00010568361081028204,KNN Regression,-0.010127499275581228,0.00010043678921864833,0.0029923687803097314,0.06559280556952837
-4.9060488014963894,-0.0001369144816401408,KNN Regression,-0.008012011219595081,6.201714863214854e-05,0.0024770410361527563,0.0650390581847849
-4.848668113759589,-0.0001767365888819459,KNN Regression,-0.011734580941374669,0.00013358376607644794,0.002577934786984801,0.06521151855306125
-4.791287426022789,-0.00022731875293711354,KNN Regression,-0.014278484639704016,0.0001974352627774419,0.00228242312162649,0.06497985838440393
-4.73390673828599,-0.00029132113798943117,KNN Regression,-0.016665340220851654,0.0002681085009259363,0.0024244273796118487,0.06519253588053779
-4.67652605054919,-0.00037199125292620603,KNN Regression,-0.014221379698024356,0.00019180556030321815,0.0025583078344268355,0.06525011339473005
-4.6191453628123895,-0.0004732747603734282,KNN Regression,-0.0035432041966395947,9.424466743653502e-06,0.0018545930619431202,0.06436401752868677
-4.56176467507559,-0.0005999423968655896,KNN Regression,-0.022609769202456158,0.00048443247601209316,0.002128334540379107,0.0651127670163912
-4.50438398733879,-0.0007577341671051123,KNN Regression,-0.02205906837408067,0.00045374683899726694,0.0021425055152152,0.06509625235421247
-4.44700329960199,-0.0009535217481791761,KNN Regression,-0.029340344736946446,0.0008058117193956058,0.0018480815188602062,0.06515389323825581
-4.389622611865191,-0.0011954897081602142,KNN Regression,-0.02949206510563653,0.0008006961792250618,0.0018806987299513772,0.06518139490917643
-4.3322419241283905,-0.001493335689799844,KNN Regression,-0.021063700119979722,0.0003829991639300498,0.002477746537624045,0.06536074570155409
-4.27486123639159,-0.0018584891162212573,KNN Regression,-0.027163997566128036,0.0006403687579083034,0.0019265932164508857,0.06506696197435918
-4.217480548654791,-0.00230434722481259,KNN Regression,-0.023357534549789526,0.0004432366965405695,0.0019243864149103551,0.06486762311145093
-4.160099860917991,-0.0028465263132282873,KNN Regression,-0.029343354992401732,0.0007020819300534685,0.0025920695361672298,0.0657941514662207
-4.102719173181191,-0.003503124976259711,KNN Regression,-0.021193002337006585,0.00031293176103826476,0.0028853422854972013,0.06569827404653547
-4.0453384854443915,-0.004294994818047474,KNN Regression,-0.010416142359539833,3.746844722471795e-05,0.0017516137537852386,0.06428908220100996
-3.9879577977075913,-0.005246012641044714,KNN Regression,-0.009131273303328087,1.5095250413886633e-05,0.0012242485230935754,0.06373934377350746
-3.930577109970791,-0.006383346450164995,KNN Regression,-0.017992287273098782,0.00013476750703037859,0.001964079080243636,0.06459884658727401
-3.8731964222339914,-0.007737705786904457,KNN Regression,-0.022260916531223824,0.00021092365032391355,0.001058470500537298,0.0637693941508612
-3.8158157344971917,-0.00934356495540633,KNN Regression,-0.028234587739697475,0.0003568707418366072,0.0019129157253919178,0.06476978646722853
-3.7584350467603915,-0.011239345665911265,KNN Regression,-0.018921346589830218,5.901313819509165e-05,0.003496577655303327,0.06605559079349842
-3.701054359023592,-0.013467543561724799,KNN Regression,-0.02331407808902068,9.695424219722996e-05,0.0035825955115739785,0.0661795497537712
-3.6436736712867916,-0.016074781091147083,KNN Regression,-0.02046383836681808,1.9263823769120525e-05,0.0018232900636352537,0.06434255388740437
-3.586292983549992,-0.01911176733012285,KNN Regression,-0.019954379246521096,7.099948416563239e-07,0.001798832205083651,0.06429954219992531
-3.528912295813192,-0.022633143765738908,KNN Regression,-0.047079721373898126,0.0005976351567517517,0.0011413333776970158,0.06423896853444877
-3.471531608076392,-0.026697193841645553,KNN Regression,-0.05591345305885491,0.0008535898026471706,0.0020029727117274443,0.06535656251437462
-3.4141509203395923,-0.03136539338372099,KNN Regression,-0.05591345305885491,0.000602607233813936,0.0020029727117274443,0.06510557994554138
-3.3567702326027926,-0.03670177901722003,KNN Regression,-0.05830743166354694,0.00046680422627373307,0.00253262036954801,0.06549942459582174
-3.2993895448659925,-0.042772112509494864,KNN Regression,-0.07805527494311794,0.0012449015513174306,0.0016855232510227032,0.06543042480234014
-3.2420088571291927,-0.049642820778084955,KNN Regression,-0.08181138144300806,0.0010348162952528383,0.0036966559503579,0.06723147224561074
-3.184628169392393,-0.057379694236662254,KNN Regression,-0.09450097413405018,0.0013779894212202165,0.0032029348962941706,0.06708092431751439
-3.127247481655593,-0.06604633033759015,KNN Regression,-0.10282436856123431,0.0013526240955798307,0.0027737832569839065,0.06662640735256374
-3.069866793918793,-0.07570231470906062,KNN Regression,-0.12270323203760385,0.0022090862297245548,0.0021011754194622833,0.06681026164918684
-3.0124861061819934,-0.08640113923859626,KNN Regression,-0.13361197885802903,0.0022288633775718034,0.0022415479869642755,0.06697041136453608
-2.9551054184451933,-0.0981878648364307,KNN Regression,-0.13857021630631242,0.0016307343102370578,0.003212254712386075,0.06734298902262313
